"BehaviorSpace results (NetLogo 6.2.2)"
"hw1.nlogo"
"experiment-constraint-fixed-num"
"10/03/2022 01:54:19:291 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","max-angle","num","rw-type","world-size","[step]","mean displacements-before-border-reach","max msd-deviations-before-border-reach","time-to-cover","time-to-reach-border","percentage-of-visited","ticks"
"75","90","100","constraint","47","1190","8.485115779581037","11.236592994880858","1190","109","100","1190"
"76","90","100","constraint","47","1255","8.979856918407904","12.470274702692043","1255","118","100","1255"
"78","90","100","constraint","48","1496","8.80947120915258","12.66656026988858","1496","127","100","1496"
"77","90","100","constraint","48","1642","7.956184620775504","12.76556855741464","1642","129","100","1642"
"79","90","100","constraint","49","1808","8.917165369446188","13.679322469138315","1808","148","100","1808"
"80","90","100","constraint","49","1681","9.014010606531203","13.897166582987564","1681","143","100","1681"
"82","90","100","constraint","50","1500","8.830046626999803","13.475438433859974","1500","145","100","1500"
"81","90","100","constraint","50","1636","10.049520762500723","12.579995758242658","1636","135","100","1636"
"83","90","100","constraint","51","1541","9.532337277734646","13.52761961634878","1541","113","100","1541"
"84","90","100","constraint","51","1672","9.007149751741798","12.683958446513358","1672","123","100","1672"
"86","90","100","constraint","52","1632","9.050759974587885","14.806773750449217","1632","150","100","1632"
"85","90","100","constraint","52","1803","8.87581837979008","13.194676573261466","1803","160","100","1803"
"88","90","100","constraint","53","1624","8.529097619669633","13.128835602043969","1624","121","100","1624"
"87","90","100","constraint","53","1818","8.66558434295523","15.17175105315975","1818","214","100","1818"
"89","90","100","constraint","54","1828","8.231954904807184","14.430133226417432","1828","157","100","1828"
"90","90","100","constraint","54","1615","8.467623944290251","13.651249081346176","1615","191","100","1615"
"92","90","100","constraint","55","1631","8.612737285558376","13.477209939654426","1631","160","100","1631"
"91","90","100","constraint","55","1791","8.761568640247347","14.904973694755734","1791","150","100","1791"
"93","90","100","constraint","56","1559","8.450748653811468","12.58369103788736","1559","136","100","1559"
"95","90","100","constraint","57","1868","9.598515858837631","14.304166159282522","1868","242","100","1868"
"96","90","100","constraint","57","1956","8.599429613489768","13.124517964855865","1956","182","100","1956"
"94","90","100","constraint","56","2156","8.004069216922911","14.056376527917497","2156","183","100","2156"
"97","90","100","constraint","58","2102","8.903516170867846","14.212214849354119","2102","166","100","2102"
"98","90","100","constraint","58","2016","9.218212164893838","14.90623481282464","2016","186","100","2016"
"100","90","100","constraint","59","1985","9.080212573382513","14.217136954493078","1985","207","100","1985"
"103","180","100","constraint","10","93","8.641789265446056","1","93","24","100","93"
"104","180","100","constraint","10","121","8.331827538108582","1","121","17","100","121"
"105","180","100","constraint","11","114","9.758377997171822","1","114","29","100","114"
"106","180","100","constraint","11","144","8.860536113658391","1","144","44","100","144"
"107","180","100","constraint","12","163","8.448155672127818","1","163","31","100","163"
"108","180","100","constraint","12","138","10.01318706851819","1","138","34","100","138"
"99","90","100","constraint","59","2534","8.135372390768595","15.236567326295342","2534","209","100","2534"
"109","180","100","constraint","13","200","7.293576191513863","1.0739812717789023","200","50","100","200"
"110","180","100","constraint","13","235","9.257941037391857","1","235","41","100","235"
"111","180","100","constraint","14","212","8.693962076597364","1","212","38","100","212"
"112","180","100","constraint","14","252","9.397445443298054","1","252","45","100","252"
"113","180","100","constraint","15","247","9.09235581631259","1","247","67","100","247"
"114","180","100","constraint","15","252","9.580869542952447","1","252","36","100","252"
"115","180","100","constraint","16","330","8.946714614053505","0.9999999999999999","330","58","100","330"
"116","180","100","constraint","16","301","8.876959443518952","0.9999999999999999","301","54","100","301"
"117","180","100","constraint","17","313","8.082899686943666","1","313","76","100","313"
"118","180","100","constraint","17","332","7.825667666293646","1","332","82","100","332"
"119","180","100","constraint","18","417","7.948118493539905","1","417","67","100","417"
"120","180","100","constraint","18","489","8.695731918936291","1","489","82","100","489"
"101","90","100","constraint","60","2723","8.68023188200109","13.288977733446814","2723","174","100","2723"
"121","180","100","constraint","19","467","8.82309811938501","1.1011276095814804","467","117","100","467"
"122","180","100","constraint","19","543","8.703006459816168","1","543","85","100","543"
"123","180","100","constraint","20","464","10.141102879472468","1","464","79","100","464"
"124","180","100","constraint","20","475","9.155652547970107","1","475","55","100","475"
"125","180","100","constraint","21","495","9.124362863050095","1","495","89","100","495"
"126","180","100","constraint","21","616","8.508818832852384","1","616","105","100","616"
"128","180","100","constraint","22","651","8.579753688192639","1","651","124","100","651"
