"BehaviorSpace results (NetLogo 6.2.2)"
"hw1.nlogo"
"experiment-constraint-fixed-world-size"
"10/03/2022 01:50:34:267 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","max-angle","num","rw-type","world-size","[step]","mean displacements-before-border-reach","max msd-deviations-before-border-reach","time-to-cover","time-to-reach-border","percentage-of-visited","ticks"
"58","90","78","constraint","50","2216","8.555707749381805","11.473023399508278","2216","133","100","2216"
"63","90","81","constraint","50","1499","6.994338217745203","12.076077570915848","1499","104","100","1499"
"64","90","81","constraint","50","1801","7.261057871162184","11.836685751027105","1801","124","100","1801"
"62","90","80","constraint","50","2298","8.553827613311238","15.124221776472842","2298","186","100","2298"
"65","90","82","constraint","50","2026","7.97600321101521","11.609556241447752","2026","154","100","2026"
"66","90","82","constraint","50","1576","7.3953425059157905","13.898502230533452","1576","163","100","1576"
"68","90","83","constraint","50","1709","7.878314693015747","11.03772051734229","1709","144","100","1709"
"67","90","83","constraint","50","1937","7.3271630537653225","13.4357561791905","1937","119","100","1937"
"69","90","84","constraint","50","1508","7.682794143580485","13.49920189882487","1508","135","100","1508"
"70","90","84","constraint","50","1539","8.097677608362165","12.45907060509493","1539","106","100","1539"
"71","90","85","constraint","50","1755","7.369255677483673","16.18073785210683","1755","168","100","1755"
"72","90","85","constraint","50","1904","8.060661648056286","11.8228418849223","1904","90","100","1904"
"74","90","86","constraint","50","1550","9.447390194102876","13.776341129497021","1550","143","100","1550"
"73","90","86","constraint","50","1721","7.339247392475382","11.100680542577972","1721","105","100","1721"
"76","90","87","constraint","50","1539","8.470581542480987","14.755335434953878","1539","142","100","1539"
"75","90","87","constraint","50","1902","7.9907262771727785","14.960981156659905","1902","145","100","1902"
"77","90","88","constraint","50","1704","8.405837661074354","10.688454004904917","1704","136","100","1704"
"78","90","88","constraint","50","1973","8.243578168666609","12.649187280900552","1973","108","100","1973"
"79","90","89","constraint","50","1849","8.703192482022759","13.349104566352818","1849","108","100","1849"
"80","90","89","constraint","50","1701","8.803964429812972","14.92584186420721","1701","133","100","1701"
"81","90","90","constraint","50","1533","8.988689714197342","14.139708068107932","1533","142","100","1533"
"82","90","90","constraint","50","1698","9.454427970024815","14.005795953854514","1698","149","100","1698"
"84","90","91","constraint","50","1310","8.562234098006746","12.663809108939407","1310","148","100","1310"
"83","90","91","constraint","50","1615","8.283403347231753","12.14575476198987","1615","137","100","1615"
