"BehaviorSpace results (NetLogo 6.2.2)"
"hw1.nlogo"
"experiment-lazy-fixed-word-size"
"10/03/2022 01:32:09:361 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-60","60","-60","60"
"[run number]","lambda","num","rw-type","world-size","[step]","mean displacements-before-border-reach","max msd-deviations-before-border-reach","time-to-cover","time-to-reach-border","percentage-of-visited","ticks"
"35","0.5","67","lazy","40","10000","0.10691559150466327","8.685544471128168","0","0","8.06279530559366","10000"
"36","0.5","67","lazy","40","10000","0.11464645814580829","8.547501241202077","0","0","8.12376162170401","10000"
"37","0.5","68","lazy","40","10000","0.10827622394779092","8.220257009388979","0","0","8.260935832952294","10000"
"38","0.5","68","lazy","40","10000","0.10319972629576814","9.095681970579749","0","0","9.571711629324797","10000"
"39","0.5","69","lazy","40","10000","0.1109439005441882","8.84775105793358","0","0","8.809632677945435","10000"
"40","0.5","69","lazy","40","10000","0.10516201899355238","8.315822741082117","0","0","8.337143728090231","10000"
"41","0.5","70","lazy","40","10000","0.10572677948640465","8.38177466101997","0","0","7.620789513793629","10000"
"43","0.5","71","lazy","40","10000","0.10322391227372155","8.891962264144079","0","0","9.114464258497181","10000"
"42","0.5","70","lazy","40","10000","0.10710210252049854","8.936133526104515","0","0","9.297363206828228","10000"
"44","0.5","71","lazy","40","10000","0.11056434223070842","8.288495589439579","0","0","7.72748056698674","10000"
"45","0.5","72","lazy","40","10000","0.10739978089914969","8.308255434777202","0","0","8.702941624752324","10000"
"46","0.5","72","lazy","40","10000","0.1124329277252664","8.235598001629763","0","0","8.413351623228166","10000"
"47","0.5","73","lazy","40","10000","0.11095318798872868","7.899635847561497","0","0","7.422648986434995","10000"
"48","0.5","73","lazy","40","10000","0.10620873466805231","7.989377413228932","0","0","7.529340039628106","10000"
"49","0.5","74","lazy","40","10000","0.11372125128339736","8.141345811482683","0","0","8.16948635878677","10000"
"50","0.5","74","lazy","40","10000","0.11146858178509313","10.440696572478792","0","0","11.233043743331809","10000"
"51","0.5","75","lazy","40","10000","0.11144741368717273","8.316517151753743","0","0","8.23045267489712","10000"
"52","0.5","75","lazy","40","10000","0.10663193403932071","8.578242363938175","0","0","8.550525834476451","10000"
"53","0.5","76","lazy","40","10000","0.1154853384893638","7.678987266503808","0","0","7.590306355738455","10000"
"54","0.5","76","lazy","40","10000","0.11002652172634662","9.221324155524771","0","0","9.434537418076513","10000"
"55","0.5","77","lazy","40","10000","0.11784433704337643","8.832904669039117","0","0","8.809632677945435","10000"
"57","0.5","78","lazy","40","10000","0.11565393957729446","9.024427853041407","0","0","9.586953208352385","10000"
"56","0.5","77","lazy","40","10000","0.11027456514730816","8.677918689531678","0","0","8.748666361835086","10000"
"58","0.5","78","lazy","40","10000","0.12162109554597153","9.131094156467038","0","0","9.480262155159274","10000"
"59","0.5","79","lazy","40","10000","0.11641873007673853","8.189263257001521","0","0","7.712238987959153","10000"
"60","0.5","79","lazy","40","10000","0.11528403060419634","8.51041494242185","0","0","8.382868465172992","10000"
"62","0.5","80","lazy","40","10000","0.11403967714912612","8.627175403473837","0","0","8.39811004420058","10000"
"61","0.5","80","lazy","40","10000","0.1196367716515487","9.349305978770754","0","0","10.33379058070416","10000"
"63","0.5","81","lazy","40","10000","0.11777817232282664","9.149103377784698","0","0","9.343087943910989","10000"
"65","0.5","82","lazy","40","10000","0.12171355573467453","7.897878415002652","0","0","7.834171620179851","10000"
"64","0.5","81","lazy","40","10000","0.1172529655532805","8.542696351787777","0","0","9.190672153635116","10000"
"66","0.5","82","lazy","40","10000","0.11749473048150441","8.34378627540785","0","0","8.626733729614388","10000"
"67","0.5","83","lazy","40","10000","0.11529761800000786","8.363532300468638","0","0","9.053497942386832","10000"
"68","0.5","83","lazy","40","10000","0.12207515338827547","8.414273548295311","0","0","8.824874256973022","10000"
"69","0.5","84","lazy","40","10000","0.11503407544189065","8.113509410428021","0","0","7.956104252400548","10000"
"71","0.5","85","lazy","40","10000","0.1190039411123057","8.9746659257834","0","0","9.510745313214448","10000"
"70","0.5","84","lazy","40","10000","0.11931521162329564","8.030596874501098","0","0","8.078036884621246","10000"
"72","0.5","85","lazy","40","10000","0.11676692569028001","8.31123415515655","0","0","8.56576741350404","10000"
"73","0.5","86","lazy","40","10000","0.11885726924607787","8.909245961923064","0","0","9.327846364883403","10000"
"74","0.5","86","lazy","40","10000","0.11340889602991053","8.751358337563195","0","0","9.083981100442006","10000"
"75","0.5","87","lazy","40","10000","0.12265884730408581","8.81727636687127","0","0","8.977290047248895","10000"
"76","0.5","87","lazy","40","10000","0.123166022479811","7.999184113426493","0","0","8.50480109739369","10000"
"77","0.5","88","lazy","40","10000","0.11415373877067236","8.884951780756921","0","0","9.800335314738607","10000"
"78","0.5","88","lazy","40","10000","0.12216891830280642","8.252453729497558","0","0","8.718183203779912","10000"
"79","0.5","89","lazy","40","10000","0.12199174741358824","8.771256673175102","0","0","9.647919524462734","10000"
"80","0.5","89","lazy","40","10000","0.11835297260812973","9.010901216150753","0","0","9.571711629324797","10000"
"81","0.5","90","lazy","40","10000","0.12905240769972062","7.5947350381728445","0","0","8.489559518366102","10000"
"82","0.5","90","lazy","40","10000","0.11871808068956698","8.662230385710687","0","0","9.404054260021338","10000"
"83","0.5","91","lazy","40","10000","0.12257197211893024","9.428779566230826","0","0","10.547172687090383","10000"
"84","0.5","91","lazy","40","10000","0.12297798520810342","8.173864090782885","0","0","8.763907940862673","10000"
"85","0.5","92","lazy","40","10000","0.12182493723594746","8.522286726212114","0","0","9.343087943910989","10000"
"86","0.5","92","lazy","40","10000","0.1250150310997834","8.716688506532845","0","0","9.327846364883403","10000"
"87","0.5","93","lazy","40","10000","0.1276573316132801","8.431480021241864","0","0","10.013717421124829","10000"
"88","0.5","93","lazy","40","10000","0.12230981818096182","8.942263030637685","0","0","10.349032159731749","10000"
"89","0.5","94","lazy","40","10000","0.1224248488286695","8.84604703094939","0","0","9.89178478890413","10000"
"90","0.5","94","lazy","40","10000","0.13232683246686205","7.986385626113539","0","0","9.266880048773054","10000"
"91","0.5","95","lazy","40","10000","0.12827644640378857","7.836780753626447","0","0","8.489559518366102","10000"
"92","0.5","95","lazy","40","10000","0.12180376120634387","8.61554043928724","0","0","9.160188995579942","10000"
"93","0.5","96","lazy","40","10000","0.1248782405507911","7.973051953669075","0","0","8.199969516841945","10000"
"94","0.5","96","lazy","40","10000","0.1353050468677839","8.593542202004453","0","0","9.4497789971041","10000"
"95","0.5","97","lazy","40","10000","0.12098455664234095","8.823552882259508","0","0","9.327846364883403","10000"
"96","0.5","97","lazy","40","10000","0.12661163697119565","8.634997294216587","0","0","9.632677945435146","10000"
"97","0.5","98","lazy","40","10000","0.12491925597153572","9.375883742185824","0","0","10.516689529035208","10000"
"98","0.5","98","lazy","40","10000","0.1248900280023507","8.714260070629765","0","0","9.693644261545495","10000"
"99","0.5","99","lazy","40","10000","0.1360172972476102","8.356824906023471","0","0","9.114464258497181","10000"
"100","0.5","99","lazy","40","10000","0.13064823300135098","8.650994523327103","0","0","10.440481633897273","10000"
"101","0.5","100","lazy","40","10000","0.13269817513863513","8.557340235112875","0","0","10.013717421124829","10000"
"102","0.5","100","lazy","40","10000","0.13230226784299673","8.62104283706578","0","0","9.693644261545495","10000"
"103","1","50","lazy","40","3354","6.033415641316956","2.0848063734449056","3354","357","100","3354"
"105","1","51","lazy","40","2931","6.462582992331503","1.2642663684854405","2931","481","100","2931"
"106","1","51","lazy","40","3259","6.1113681869543655","2.6184487222984068","3259","414","100","3259"
"104","1","50","lazy","40","4911","6.36575068561989","2.294029136221994","4911","499","100","4911"
"107","1","52","lazy","40","2994","6.44734126281846","2.1387693858054675","2994","529","100","2994"
"110","1","53","lazy","40","3098","6.2174369920800965","1.3382668669530595","3098","390","100","3098"
"109","1","53","lazy","40","3918","6.452946284304473","1.8357167227825482","3918","363","100","3918"
"108","1","52","lazy","40","5273","6.533775608365416","1.6182948229330183","5273","469","100","5273"
"111","1","54","lazy","40","4073","6.6135592459959796","1","4073","403","100","4073"
"113","1","55","lazy","40","3054","6.535518951654032","1.8947844444633333","3054","319","100","3054"
"112","1","54","lazy","40","4323","6.279659729359773","2.281285508354717","4323","410","100","4323"
"114","1","55","lazy","40","3689","6.57787533650044","1.9578841828491207","3689","349","100","3689"
"115","1","56","lazy","40","3189","6.769704554745483","2.3316439170438166","3189","371","100","3189"
"116","1","56","lazy","40","3635","6.626605927551406","2.25527463251645","3635","482","100","3635"
"117","1","57","lazy","40","3381","6.8072879401225945","1","3381","391","100","3381"
"118","1","57","lazy","40","3541","6.965816346406145","2.037352553866068","3541","410","100","3541"
"119","1","58","lazy","40","3169","6.723077434115244","1.94760275251339","3169","305","100","3169"
"123","1","60","lazy","40","2810","6.864408303147386","2.63885058196232","2810","632","100","2810"
"121","1","59","lazy","40","4069","6.830199717690099","1.9284058323252165","4069","455","100","4069"
"120","1","58","lazy","40","4444","6.629761845678609","1","4444","299","100","4444"
"122","1","59","lazy","40","3339","7.043476287742364","2.153493470127593","3339","383","100","3339"
"124","1","60","lazy","40","2922","6.936982231206119","1.4651902590876809","2922","440","100","2922"
"125","1","61","lazy","40","3062","6.3223113850411705","1.4859399795379176","3062","286","100","3062"
"127","1","62","lazy","40","2810","6.856358248451157","1.6159858737359691","2810","520","100","2810"
"126","1","61","lazy","40","3594","7.176162932950358","2.9961028870351","3594","536","100","3594"
"129","1","63","lazy","40","2934","7.026528135243775","1","2934","322","100","2934"
"128","1","62","lazy","40","3394","7.13046991888737","1.4317589074399066","3394","480","100","3394"
"131","1","64","lazy","40","3747","7.496054427978956","1","3747","241","100","3747"
"130","1","63","lazy","40","4019","6.5797971683302485","1","4019","429","100","4019"
"132","1","64","lazy","40","3682","6.1741460409904985","3.3081079993395317","3682","245","100","3682"
"133","1","65","lazy","40","3538","7.200023845926766","2.161325892828657","3538","327","100","3538"
"134","1","65","lazy","40","3074","6.900692677543891","1","3074","273","100","3074"
"135","1","66","lazy","40","3266","7.328854482963589","1.6685361859124725","3266","494","100","3266"
"136","1","66","lazy","40","3015","7.171975419217779","1.5609403377322444","3015","322","100","3015"
"139","1","68","lazy","40","2071","7.119135385094312","2.6083243931023006","2071","376","100","2071"
"137","1","67","lazy","40","2645","7.243866922714942","1.3281258405741578","2645","531","100","2645"
"138","1","67","lazy","40","3166","7.356128828911052","1.5005870457940098","3166","407","100","3166"
"140","1","68","lazy","40","3568","7.210723484158578","3.367338572004112","3568","508","100","3568"
"141","1","69","lazy","40","2641","7.381882924109768","1.5499417637439965","2641","438","100","2641"
"142","1","69","lazy","40","3342","7.484738887741337","1.9676176217087367","3342","483","100","3342"
"143","1","70","lazy","40","3191","7.445253096019786","1.382259823095346","3191","323","100","3191"
"144","1","70","lazy","40","2975","7.384460681576376","1.458660879020556","2975","472","100","2975"
"145","1","71","lazy","40","3234","7.4829756619395145","1.8084054285772382","3234","339","100","3234"
"147","1","72","lazy","40","3239","7.428170293599897","1.2303423038739982","3239","418","100","3239"
"146","1","71","lazy","40","3206","7.442796284511214","2.797978792378416","3206","327","100","3206"
"148","1","72","lazy","40","3086","7.365209489567627","2.1229472975704837","3086","490","100","3086"
"149","1","73","lazy","40","2932","7.568654195734322","1","2932","379","100","2932"
"150","1","73","lazy","40","2696","7.2769397193838214","1","2696","483","100","2696"
"151","1","74","lazy","40","2810","8.04603243619866","1.2060751499888873","2810","277","100","2810"
"152","1","74","lazy","40","2897","7.703612395784968","1.4632647966954444","2897","324","100","2897"
"153","1","75","lazy","40","2590","7.451946838804538","1.4307432108471048","2590","279","100","2590"
"154","1","75","lazy","40","2786","7.271656658012863","1.9570744749635445","2786","337","100","2786"
"155","1","76","lazy","40","2934","7.825149169482232","2.58202919509538","2934","464","100","2934"
"156","1","76","lazy","40","3072","8.028942506871758","1.8740944657332719","3072","284","100","3072"
"157","1","77","lazy","40","2883","7.9376510559527835","2.341473195740205","2883","317","100","2883"
"158","1","77","lazy","40","2140","7.779186263266821","1.9734387502001454","2140","356","100","2140"
"159","1","78","lazy","40","3385","8.10275135000235","1","3385","303","100","3385"
"160","1","78","lazy","40","2797","7.932511933526699","1","2797","322","100","2797"
"161","1","79","lazy","40","3049","7.9657724231750615","1.5020131388250704","3049","378","100","3049"
"162","1","79","lazy","40","3787","7.935894936964606","1.0802452672895342","3787","224","100","3787"
"164","1","80","lazy","40","2663","8.197437718483448","1.5201436105591206","2663","261","100","2663"
"163","1","80","lazy","40","2585","7.827660904009328","1","2585","316","100","2585"
"165","1","81","lazy","40","2670","8.30446706122218","1.7712049069763438","2670","353","100","2670"
"166","1","81","lazy","40","2497","8.267258891716105","1.0147340119171346","2497","372","100","2497"
"167","1","82","lazy","40","2657","7.948219978726945","0.9999999999999999","2657","362","100","2657"
"168","1","82","lazy","40","2455","8.360168500481606","1","2455","281","100","2455"
"169","1","83","lazy","40","2645","8.05639581120374","1.5580606012334783","2645","387","100","2645"
"170","1","83","lazy","40","2397","7.701415532780503","1.6379279903138446","2397","339","100","2397"
"172","1","84","lazy","40","2213","7.820317920082581","1.327747273097243","2213","513","100","2213"
"173","1","85","lazy","40","2693","8.018436842905247","1.4697565979596785","2693","177","100","2693"
"171","1","84","lazy","40","3650","8.34303950750891","1.5234928287088518","3650","301","100","3650"
"174","1","85","lazy","40","2922","7.974222008464824","1","2922","418","100","2922"
"175","1","86","lazy","40","2065","7.934539439002949","1.8530605185380598","2065","232","100","2065"
"176","1","86","lazy","40","1995","8.430236942130652","2.013288720310536","1995","286","100","1995"
"177","1","87","lazy","40","2365","8.208239033495847","1","2365","246","100","2365"
"178","1","87","lazy","40","2487","7.940965032081248","2.1027215125076744","2487","426","100","2487"
"179","1","88","lazy","40","2349","8.48365904184762","2.4880530043737075","2349","509","100","2349"
"180","1","88","lazy","40","2390","8.219022092583218","1.1245245601640015","2390","446","100","2390"
"182","1","89","lazy","40","2090","8.410248794542118","1","2090","408","100","2090"
"181","1","89","lazy","40","2984","7.833650506664504","1.5166839091601432","2984","324","100","2984"
"183","1","90","lazy","40","2427","8.306116494640461","0.9999999999999999","2427","240","100","2427"
"184","1","90","lazy","40","2531","8.131551081901087","2.1254177273370054","2531","344","100","2531"
"185","1","91","lazy","40","2634","8.39603778622354","1.0773737035080941","2634","394","100","2634"
"186","1","91","lazy","40","2452","7.860727478439796","2.1903365361887026","2452","372","100","2452"
"188","1","92","lazy","40","2214","8.377600315557679","0.9999999999999999","2214","375","100","2214"
"187","1","92","lazy","40","2503","8.70352346233239","1","2503","377","100","2503"
"189","1","93","lazy","40","2360","9.00119797540356","2.4802955617670612","2360","360","100","2360"
"190","1","93","lazy","40","3061","8.260579635918017","1.4462360555558647","3061","312","100","3061"
"191","1","94","lazy","40","2474","8.818639476345028","1","2474","324","100","2474"
"193","1","95","lazy","40","2462","8.92372346758637","1.3103265718830457","2462","371","100","2462"
"192","1","94","lazy","40","2915","8.803624209877688","1","2915","245","100","2915"
"194","1","95","lazy","40","2456","8.646183672495289","1.6586786512097493","2456","486","100","2456"
"195","1","96","lazy","40","2334","9.056102295352346","1.2354696220408474","2334","315","100","2334"
"196","1","96","lazy","40","2302","9.072966690807784","1","2302","369","100","2302"
"197","1","97","lazy","40","2642","8.643880015096995","1","2642","336","100","2642"
"198","1","97","lazy","40","2523","9.017360177466614","1","2523","309","100","2523"
"199","1","98","lazy","40","2345","8.700308398749906","1","2345","330","100","2345"
"200","1","98","lazy","40","2334","8.557790210741533","1","2334","272","100","2334"
"201","1","99","lazy","40","1827","9.019930755132787","1.112197985773225","1827","289","100","1827"
"202","1","99","lazy","40","2680","9.39540884429022","1.4218038450342867","2680","403","100","2680"
"203","1","100","lazy","40","2405","9.000517626587683","1.1608726283270574","2405","282","100","2405"
"204","1","100","lazy","40","2680","8.487510466642851","1.2994888574241443","2680","262","100","2680"
"208","1.5","51","lazy","40","1182","9.46288237462436","10.038815833494905","1182","209","100","1182"
"206","1.5","50","lazy","40","1367","9.762540463787756","11.212947323866736","1367","191","100","1367"
"205","1.5","50","lazy","40","1447","9.273219213422035","4.030767015819784","1447","157","100","1447"
"210","1.5","52","lazy","40","1232","8.961164497516094","5.3467648230855325","1232","156","100","1232"
"207","1.5","51","lazy","40","1505","9.920109711882327","9.811733278641988","1505","195","100","1505"
"211","1.5","53","lazy","40","1325","9.525381838916394","11.446152508629801","1325","211","100","1325"
"213","1.5","54","lazy","40","1297","8.28143679117571","2.959857315831771","1297","127","100","1297"
"214","1.5","54","lazy","40","1307","9.431830288609953","6.345961126397903","1307","174","100","1307"
"215","1.5","55","lazy","40","1305","8.42561478102663","3.668667882378946","1305","123","100","1305"
"212","1.5","53","lazy","40","1537","8.779152195500671","6.61207010936884","1537","173","100","1537"
"209","1.5","52","lazy","40","1705","8.882347048434488","6.377070545123207","1705","172","100","1705"
"217","1.5","56","lazy","40","1425","8.297587218377094","4.824922805341991","1425","142","100","1425"
"216","1.5","55","lazy","40","1459","10.440451160778174","11.627202870922279","1459","203","100","1459"
"220","1.5","57","lazy","40","1074","9.443339578586757","9.726644320155902","1074","213","100","1074"
"218","1.5","56","lazy","40","1505","8.742905246337108","5.902535877466541","1505","144","100","1505"
"219","1.5","57","lazy","40","1436","10.685919101686956","8.435924908505019","1436","192","100","1436"
"222","1.5","58","lazy","40","1298","8.56946514888655","3.312153121648791","1298","135","100","1298"
"221","1.5","58","lazy","40","1432","9.618816200888185","10.768646006272231","1432","185","100","1432"
"225","1.5","60","lazy","40","1195","10.322043083235924","8.923543367303935","1195","193","100","1195"
"224","1.5","59","lazy","40","1395","9.741820508136804","5.417064221063228","1395","163","100","1395"
"226","1.5","60","lazy","40","1297","10.211337552096808","7.8683744082028575","1297","180","100","1297"
"227","1.5","61","lazy","40","1283","10.134599776083055","10.808341469473689","1283","187","100","1283"
"228","1.5","61","lazy","40","1054","8.972224485730443","4.86386201462394","1054","148","100","1054"
"229","1.5","62","lazy","40","1156","9.234781832521586","4.397094808993526","1156","147","100","1156"
"231","1.5","63","lazy","40","1095","10.133019597283269","8.355246241668098","1095","184","100","1095"
"230","1.5","62","lazy","40","1219","10.406777002823452","10.901994752206793","1219","192","100","1219"
"232","1.5","63","lazy","40","1043","9.422419131467452","6.437516234519244","1043","163","100","1043"
"233","1.5","64","lazy","40","1154","10.681879944299197","6.582768812601948","1154","171","100","1154"
"234","1.5","64","lazy","40","1273","9.682122036999647","5.727425191754374","1273","171","100","1273"
"236","1.5","65","lazy","40","1233","10.063967877922362","5.608011855711133","1233","149","100","1233"
"238","1.5","66","lazy","40","976","10.228069326681846","5.427723940371013","976","165","100","976"
"237","1.5","66","lazy","40","1158","10.333970290888937","7.839697693936344","1158","171","100","1158"
"235","1.5","65","lazy","40","1431","11.199057655626374","7.284183883587641","1431","185","100","1431"
"240","1.5","67","lazy","40","1290","9.375949123771957","7.669260256479129","1290","159","100","1290"
"241","1.5","68","lazy","40","1144","10.674371861778775","6.285195931307815","1144","171","100","1144"
"239","1.5","67","lazy","40","1357","10.647462631579003","8.01551061871226","1357","179","100","1357"
"243","1.5","69","lazy","40","976","9.611631964370712","3.5944578360408066","976","163","100","976"
"242","1.5","68","lazy","40","1099","9.792025806540225","6.172508492223917","1099","154","100","1099"
"245","1.5","70","lazy","40","1088","10.136605191255807","5.583964570040397","1088","155","100","1088"
"244","1.5","69","lazy","40","1198","9.81249887337864","3.6282963335829344","1198","137","100","1198"
"246","1.5","70","lazy","40","1118","10.41257583553319","10.120521161024662","1118","194","100","1118"
"248","1.5","71","lazy","40","989","11.169909285796026","10.863515404771025","989","190","100","989"
"247","1.5","71","lazy","40","1048","10.188192254436439","4.161137977069984","1048","163","100","1048"
"249","1.5","72","lazy","40","1091","11.120774403891344","6.831018310498056","1091","185","100","1091"
"250","1.5","72","lazy","40","967","10.588283499319598","4.119286278531849","967","152","100","967"
"251","1.5","73","lazy","40","980","10.032057233115683","6.53978100952734","980","157","100","980"
"252","1.5","73","lazy","40","982","10.728861160195834","7.899565148545786","982","179","100","982"
"253","1.5","74","lazy","40","1011","11.620137123083898","7.02673886922511","1011","175","100","1011"
"256","1.5","75","lazy","40","975","10.366284266747707","5.618516520237783","975","141","100","975"
"254","1.5","74","lazy","40","1202","11.070882628925089","3.743820682534583","1202","160","100","1202"
"257","1.5","76","lazy","40","1004","11.913610955349364","8.561658414147292","1004","189","100","1004"
"255","1.5","75","lazy","40","1234","11.07963800263203","8.596243283617788","1234","182","100","1234"
"258","1.5","76","lazy","40","923","11.985009786327602","6.917722157406761","923","188","100","923"
"259","1.5","77","lazy","40","920","10.077223272119275","4.574220058829436","920","153","100","920"
